Scale.name,variable.name,reversecoded,Importance.rank,Effect.direction,Effect.surprising,Items,n,mean,sd,min,max,skew,skew_2se,kurt,kurt_2se,Reliability,Interpret,min_load,max_load,PC1,Reference,Measure,Scale,construct,description,description.en,sample.item,sample.item.en,items.regex,subscale,comments,item.names
Neuroticism (big 5),neuroticism,,1,Positive,,6,493,4.4,1.1,1,7,-0.38,-1.75,0.07,0.16,0.82,Good,0.43,0.81,0.54,"Borghuis, J., Denissen, J. J. A., Oberski, D., Sijtsma, K., Meeus, W. H. J., Branje, S., Koot, H. M., & Bleidorn, W. (2017). Big Five personality stability, change, and codevelopment across adolescence and early adulthood. Journal of Personality and Social Psychology, 113(4), 641–657. https://doi.org/10.1037/pspp0000141",Big Five Emotionele Stabiliteit,Big Five Emotionele Stabiliteit,Big Five Emotionele Stabiliteit,"5 “universele” persoonlijkheidskenmerken: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism",Big five personality traits,2 Prikkelbaar,Excitable,bf11aa(02|07|11|16|24|29)$,^bf11aaemo$,,rbf11aa02 rbf11aa07 rbf11aa11 rbf11aa16 rbf11aa24 rbf11aa29
BIS,BIS,TRUE,2,Positive,,7,488,2.47,0.48,1.14,3.86,0.17,0.77,0.06,0.13,0.64,Questionable,0.1,0.71,0.34,"Carver, C.S. & White, T.L. (1994). Behavioral inhibition, behavioral activation, and affective responses to impending reward and punishment: The BIS/BAS scales. Journal of Personality and Social Psychology, 67, 319-333. (vertaling P.Putman)",BIS/BAS BIS,BIS/BAS BIS,BIS/BAS BIS,Sterkte van het Behavioral Inhibition System en het Behavioral Activation Sytem ,Strength of the Behavioral Inhibition System and the Behavioral Activation System ,Ik voel me behoorlijk overstuur als ik denk of weet dat iemand boos op me is.,I feel quite upset when I think or know that someone is angry with me.,bb11aa(01|02|05|09|12|16|18)$,^bb11aabis$,,bb11aa01 bb11aa02 bb11aa05 bb11aa09 rbb11aa12 bb11aa16 rbb11aa18
Balanced Relatedness,balancedrelated,,3,Negative,,14,495,3.25,0.37,1.75,4,0.12,0.54,0.2,0.45,0.88,Good,0.3,0.76,0.39,"Shulman, S., Laursen, B., Kalman, Z., & Karpovsky, S. (1997). Adolescent intimacy revisited. Journal of Youth and Adolescence, 26, 597-617.",Balanced relatedness,Balanced relatedness,Balanced relatedness,"tolerantie van moeder, vader, kind, vriend, partner, ten aanzien van verschillen in mening en ideeën","Tolerance of mother, father, child, friend, partner, towards differences in opinion and ideas",Mijn vader houdt rekening met mijn mening ,My father takes my opinion into account ,br11a[vm]0[1-7]$,^br11amvtot$,,br11av01 br11av02 br11av03 br11av04 br11av05 br11av06 br11av07 br11am01 br11am02 br11am03 br11am04 br11am05 br11am06 br11am07
Extraversion (big 5),extraversion,TRUE,4,Negative,TRUE,6,493,5.08,1.04,1.5,7,-0.35,-1.57,-0.16,-0.38,0.78,Acceptable,0.35,0.78,0.49,"Borghuis, J., Denissen, J. J. A., Oberski, D., Sijtsma, K., Meeus, W. H. J., Branje, S., Koot, H. M., & Bleidorn, W. (2017). Big Five personality stability, change, and codevelopment across adolescence and early adulthood. Journal of Personality and Social Psychology, 113(4), 641–657. https://doi.org/10.1037/pspp0000138",Big Five Extraversie,Big Five Extraversie,Big Five Extraversie,"5 “universele” persoonlijkheidskenmerken: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism",Big five personality traits,13 Gesloten,Closed,bf11aa(04|09|13|18|21|26)$,^bf11aaext$,,rbf11aa04 rbf11aa09 rbf11aa13 bf11aa18 rbf11aa21 rbf11aa26
Externalizing,externalizing,,5,Positive,,66,495,0.29,0.21,0,1.15,1.21,5.51,1.82,4.15,0.93,Excellent,0.07,0.63,0.26,"Achenbach, T. M. (1991). Manual for the Child Behavior Checklist/4-18 and 1991 Profile. Burlington, VT: University of Vermont, Department of Psychiatry. Verhulst, F. C., Van der Ende, J., & Koot, J. M. (1996). Handleiding voor de CBCL/4-18. Rotterdam: Afdeling Kinder- en Jeugdpsychiatrie, Sophia Kinderziekenhuis/Academisch Ziekenhuis Rotterdam/Erasmus Universiteit Rotterdam.",Child Behaviour CheckList externalizing,Child Behaviour CheckList externalizing,Child Behaviour CheckList externalizing,Externaliserende psychopathologie,Child Behaviour CheckList externalizing,Valt anderen lichamelijk aan ,Attacks others physically ,cb11(m|v)a[0-3][0-9]$,^cb11(m|v)aext$,,cb11ma01 cb11ma02 cb11ma03 cb11ma04 cb11ma05 cb11ma06 cb11ma07 cb11ma08 cb11ma09 cb11ma10 cb11ma11 cb11ma12 cb11ma13 cb11ma14 cb11ma15 cb11ma16 cb11ma17 cb11ma18 cb11ma19 cb11ma20 cb11ma21 cb11ma22 cb11ma23 cb11ma24 cb11ma25 cb11ma26 cb11ma27 cb11ma28 cb11ma29 cb11ma30 cb11ma31 cb11ma32 cb11ma33 cb11va01 cb11va02 cb11va03 cb11va04 cb11va05 cb11va06 cb11va07 cb11va08 cb11va09 cb11va10 cb11va11 cb11va12 cb11va13 cb11va14 cb11va15 cb11va16 cb11va17 cb11va18 cb11va19 cb11va20 cb11va21 cb11va22 cb11va23 cb11va24 cb11va25 cb11va26 cb11va27 cb11va28 cb11va29 cb11va30 cb11va31 cb11va32 cb11va33
Agreeableness (big 5),agreeableness,TRUE,6,Negative,TRUE,6,493,5.46,0.76,2.5,7,-0.56,-2.55,0.57,1.29,0.79,Acceptable,0.48,0.8,0.5,"Borghuis, J., Denissen, J. J. A., Oberski, D., Sijtsma, K., Meeus, W. H. J., Branje, S., Koot, H. M., & Bleidorn, W. (2017). Big Five personality stability, change, and codevelopment across adolescence and early adulthood. Journal of Personality and Social Psychology, 113(4), 641–657. https://doi.org/10.1037/pspp0000139",Big Five Vriendelijkheid,Big Five Vriendelijkheid,Big Five Vriendelijkheid,"5 “universele” persoonlijkheidskenmerken: Openness to experience, Conscientiousness, Extraversion, Agreeableness, Neuroticism",Big five personality traits,20 Behulpsaam,Helpful,bf11aa(05|10|15|20|22|28)$,^bf11aavri$,,bf11aa05 bf11aa10 bf11aa15 bf11aa20 bf11aa22 bf11aa28
Age (m),,,7,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conflict interparental,conflict_parents,TRUE,8,Positive,TRUE,5,469,1.75,0.63,1,4.6,1.54,6.82,2.59,5.76,0.81,Good,0.57,0.83,0.57,"Grych, J. H., & Fincham, F. D. (1993). Children’s appraisals of marital conflict: initial investigations of the cognitive-contextual framework. Child Development, 64, 215-230.",Conflict Awareness,Conflict Awareness,Conflict Awareness,Children’s appraisals of marital conflict,Children's appraisal of marital conflict,Hebben je ouders er - voor zover je weet- in het laatste jaar wel eens over gedacht om uit elkaar te gaan? ,Have your parents - to your knowledge - ever thought about breaking up in the last year? ,ca11ao0[1-5]$,^ca11aotot$,,ca11ao01 ca11ao02 ca11ao03 ca11ao04 ca11ao05
Personal distress (IRI),IRI_ped_aa,TRUE,9,Positive,TRUE,7,269,2,0.61,0,4,-0.19,-0.64,0.79,1.34,0.73,Acceptable,0.13,0.75,0.36,"Davis, M. H. (1983). Measuring individual differences in empathy: Evidence for a multidimensional approach. Journal of Personality and Social Psychology, 44(1), 113–126. https://doi.org/10.1037/0022-3514.44.1.116",Interpersonal Reactivity Index,Persoonlijke Bezorgdheid,Interpersonal Reactivity Index - Persoonlijke Bezorgdheid,Empathie/Emotionele en cognitieve facetten van empathie,Empathy/Emotional and cognitive facets of empathy,"Als ik in een emotionele situatie beland, voel ik me soms hulpeloos.","When I find myself in an emotional situation, I sometimes feel helpless.",ir11aa(06|10|13|17|19|24|27),^ir11aaped$,,ir11aa06 ir11aa10 rir11aa13 ir11aa17 rir11aa19 ir11aa24 ir11aa27
Conflict engagement (b),CRSI_en_ab,TRUE,10,Positive,TRUE,5,464,1.42,0.55,1,4.4,1.8,7.94,3.89,8.6,0.82,Good,0.58,0.8,0.58,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Engagement,Conflict Resolution Style Inventory - Engagement,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles in parent and non-parent pairs,Woest worden en mijn beheersing verliezen ,Getting angry and losing control ,cr11ab(01|05|09|13|17)$,^cr11abce$,,cr11ab01 cr11ab05 cr11ab09 cr11ab13 cr11ab17
